X    Y
0.0000000000e+00   0.0000000000e+00
1.9550342131e-02   6.2955858299e-08
3.9100684262e-02   6.3179861231e-08
5.8651026393e-02   6.3404816675e-08
7.8201368524e-02   6.3630729084e-08
9.7751710655e-02   6.3857602901e-08
1.1730205279e-01   6.4085442448e-08
1.3685239492e-01   6.4314252264e-08
1.5640273705e-01   6.4544036767e-08
1.7595307918e-01   6.4774800366e-08
1.9550342131e-01   6.5006547801e-08
2.1505376344e-01   6.5239283351e-08
2.3460410557e-01   6.5473011624e-08
2.5415444770e-01   6.5707737107e-08
2.7370478983e-01   6.5943464504e-08
2.9325513196e-01   6.6180198397e-08
3.1280547410e-01   6.6417943359e-08
3.3235581623e-01   6.6656703952e-08
3.5190615836e-01   6.6896484845e-08
3.7145650049e-01   6.7137290807e-08
3.9100684262e-01   6.7379126487e-08
4.1055718475e-01   6.7621996635e-08
4.3010752688e-01   6.7865905996e-08
4.4965786901e-01   6.8110859073e-08
4.6920821114e-01   6.8356860817e-08
4.8875855327e-01   6.8603916052e-08
5.0830889541e-01   6.8852029481e-08
5.2785923754e-01   6.9101205910e-08
5.4740957967e-01   6.9351450360e-08
5.6695992180e-01   6.9602767502e-08
5.8651026393e-01   6.9855162227e-08
6.0606060606e-01   7.0108639522e-08
6.2561094819e-01   7.0363204257e-08
6.4516129032e-01   7.0618861174e-08
6.6471163245e-01   7.0875615571e-08
6.8426197458e-01   7.1133472170e-08
7.0381231672e-01   7.1392436134e-08
7.2336265885e-01   7.1652512391e-08
7.4291300098e-01   7.1913705967e-08
7.6246334311e-01   7.2176021882e-08
7.8201368524e-01   7.2439465140e-08
8.0156402737e-01   7.2704040963e-08
8.2111436950e-01   7.2969754447e-08
8.4066471163e-01   7.3236610565e-08
8.6021505376e-01   7.3504614616e-08
8.7976539589e-01   7.3773771661e-08
8.9931573803e-01   7.4044086977e-08
9.1886608016e-01   7.4315565827e-08
9.3841642229e-01   7.4588213015e-08
9.5796676442e-01   7.4862034229e-08
9.7751710655e-01   7.5137034587e-08
9.9706744868e-01   7.5413219191e-08
1.0166177908e+00   7.5690593472e-08
1.0361681329e+00   7.5969162733e-08
1.0557184751e+00   7.6248932154e-08
1.0752688172e+00   7.6529907352e-08
1.0948191593e+00   7.6812093481e-08
1.1143695015e+00   7.7095496020e-08
1.1339198436e+00   7.7380120211e-08
1.1534701857e+00   7.7665971733e-08
1.1730205279e+00   7.7953055800e-08
1.1925708700e+00   7.8241377842e-08
1.2121212121e+00   7.8530943496e-08
1.2316715543e+00   7.8821758164e-08
1.2512218964e+00   7.9113827346e-08
1.2707722385e+00   7.9407156529e-08
1.2903225806e+00   7.9701751410e-08
1.3098729228e+00   7.9997617336e-08
1.3294232649e+00   8.0294759978e-08
1.3489736070e+00   8.0593184991e-08
1.3685239492e+00   8.0892897907e-08
1.3880742913e+00   8.1193904352e-08
1.4076246334e+00   8.1496209942e-08
1.4271749756e+00   8.1799820387e-08
1.4467253177e+00   8.2104741386e-08
1.4662756598e+00   8.2410978621e-08
1.4858260020e+00   8.2718537761e-08
1.5053763441e+00   8.3027424571e-08
1.5249266862e+00   8.3337644802e-08
1.5444770283e+00   8.3649204302e-08
1.5640273705e+00   8.3962108679e-08
1.5835777126e+00   8.4276363864e-08
1.6031280547e+00   8.4591975546e-08
1.6226783969e+00   8.4908949624e-08
1.6422287390e+00   8.5227292093e-08
1.6617790811e+00   8.5547008598e-08
1.6813294233e+00   8.5868105102e-08
1.7008797654e+00   8.6190587553e-08
1.7204301075e+00   8.6514461770e-08
1.7399804497e+00   8.6839733670e-08
1.7595307918e+00   8.7166409376e-08
1.7790811339e+00   8.7494494770e-08
1.7986314761e+00   8.7823995719e-08
1.8181818182e+00   8.8154918409e-08
1.8377321603e+00   8.8487268784e-08
1.8572825024e+00   8.8821052885e-08
1.8768328446e+00   8.9156276623e-08
1.8963831867e+00   8.9492946116e-08
1.9159335288e+00   8.9831067686e-08
1.9354838710e+00   9.0170647193e-08
1.9550342131e+00   9.0511690704e-08
1.9745845552e+00   9.0854204600e-08
1.9941348974e+00   9.1198195021e-08
2.0136852395e+00   9.1543667871e-08
2.0332355816e+00   9.1890629476e-08
2.0527859238e+00   9.2239086148e-08
2.0723362659e+00   9.2589043734e-08
2.0918866080e+00   9.2940508950e-08
2.1114369501e+00   9.3293487831e-08
2.1309872923e+00   9.3647986392e-08
2.1505376344e+00   9.4004011515e-08
2.1700879765e+00   9.4361569177e-08
2.1896383187e+00   9.4720665780e-08
2.2091886608e+00   9.5081307707e-08
2.2287390029e+00   9.5443500878e-08
2.2482893451e+00   9.5807252301e-08
2.2678396872e+00   9.6172567858e-08
2.2873900293e+00   9.6539454517e-08
2.3069403715e+00   9.6907918343e-08
2.3264907136e+00   9.7277965821e-08
2.3460410557e+00   9.7649603417e-08
2.3655913978e+00   9.8022838018e-08
2.3851417400e+00   9.8397675830e-08
2.4046920821e+00   9.8774123257e-08
2.4242424242e+00   9.9152187125e-08
2.4437927664e+00   9.9531873797e-08
2.4633431085e+00   9.9913190276e-08
2.4828934506e+00   1.0029614289e-07
2.5024437928e+00   1.0068073858e-07
2.5219941349e+00   1.0106698343e-07
2.5415444770e+00   1.0145488457e-07
2.5610948192e+00   1.0184444889e-07
2.5806451613e+00   1.0223568304e-07
2.6001955034e+00   1.0262859344e-07
2.6197458456e+00   1.0302318737e-07
2.6392961877e+00   1.0341947117e-07
2.6588465298e+00   1.0381745209e-07
2.6783968719e+00   1.0421713687e-07
