X    Y
0.0000000000e+00   0.0000000000e+00
7.8163165608e-03   -1.5650082301e-03
1.5632633122e-02   -3.1334477275e-03
2.3448949682e-02   -4.7052303754e-03
3.1265266243e-02   -6.2802677083e-03
3.9081582804e-02   -7.8584709172e-03
4.6897899365e-02   -9.4397508545e-03
5.4714215926e-02   -1.1024018039e-02
6.2530532487e-02   -1.2611182660e-02
7.0346849047e-02   -1.4201154585e-02
7.8163165608e-02   -1.5793843361e-02
8.5979482169e-02   -1.7389158221e-02
9.3795798730e-02   -1.8987008089e-02
1.0161211529e-01   -2.0587301588e-02
1.0942843185e-01   -2.2189947038e-02
1.1724474841e-01   -2.3794852467e-02
1.2506106497e-01   -2.5401925612e-02
1.3287738153e-01   -2.7011073929e-02
1.4069369809e-01   -2.8622204591e-02
1.4851001466e-01   -3.0235224498e-02
1.5632633122e-01   -3.1850040282e-02
1.6414264778e-01   -3.3466558307e-02
1.7195896434e-01   -3.5084684680e-02
1.7977528090e-01   -3.6704325252e-02
1.8759159746e-01   -3.8325385623e-02
1.9540791402e-01   -3.9947771150e-02
2.0322423058e-01   -4.1571386946e-02
2.1104054714e-01   -4.3196137893e-02
2.1885686370e-01   -4.4821928638e-02
2.2667318026e-01   -4.6448663604e-02
2.3448949682e-01   -4.8076246993e-02
2.4230581339e-01   -4.9704582791e-02
2.5012212995e-01   -5.1333574770e-02
2.5793844651e-01   -5.2963126498e-02
2.6575476307e-01   -5.4593141339e-02
2.7357107963e-01   -5.6223522461e-02
2.8138739619e-01   -5.7854172837e-02
2.8920371275e-01   -5.9484995255e-02
2.9702002931e-01   -6.1115892318e-02
3.0483634587e-01   -6.2746766450e-02
3.1265266243e-01   -6.4377519903e-02
3.2046897899e-01   -6.6008054757e-02
3.2828529555e-01   -6.7638272931e-02
3.3610161212e-01   -6.9268076181e-02
3.4391792868e-01   -7.0897366109e-02
3.5173424524e-01   -7.2526044166e-02
3.5955056180e-01   -7.4154011655e-02
3.6736687836e-01   -7.5781169742e-02
3.7518319492e-01   -7.7407419452e-02
3.8299951148e-01   -7.9032661678e-02
3.9081582804e-01   -8.0656797186e-02
3.9863214460e-01   -8.2279726619e-02
4.0644846116e-01   -8.3901350500e-02
4.1426477772e-01   -8.5521569239e-02
4.2208109428e-01   -8.7140283135e-02
4.2989741085e-01   -8.8757392381e-02
4.3771372741e-01   -9.0372797071e-02
