X    Y
0.0000000000e+00   2.0000000000e-01
7.8163165608e-03   1.9999388596e-01
1.5632633122e-02   1.9997552586e-01
2.3448949682e-02   1.9994489321e-01
3.1265266243e-02   1.9990196224e-01
3.9081582804e-02   1.9984670785e-01
4.6897899365e-02   1.9977910563e-01
5.4714215926e-02   1.9969913190e-01
6.2530532487e-02   1.9960676365e-01
7.0346849047e-02   1.9950197859e-01
7.8163165608e-02   1.9938475513e-01
8.5979482169e-02   1.9925507239e-01
9.3795798730e-02   1.9911291020e-01
1.0161211529e-01   1.9895824909e-01
1.0942843185e-01   1.9879107034e-01
1.1724474841e-01   1.9861135591e-01
1.2506106497e-01   1.9841908849e-01
1.3287738153e-01   1.9821425152e-01
1.4069369809e-01   1.9799682912e-01
1.4851001466e-01   1.9776680617e-01
1.5632633122e-01   1.9752416827e-01
1.6414264778e-01   1.9726890174e-01
1.7195896434e-01   1.9700099365e-01
1.7977528090e-01   1.9672043179e-01
1.8759159746e-01   1.9642720470e-01
1.9540791402e-01   1.9612130165e-01
2.0322423058e-01   1.9580271264e-01
2.1104054714e-01   1.9547142845e-01
2.1885686370e-01   1.9512744056e-01
2.2667318026e-01   1.9477074122e-01
2.3448949682e-01   1.9440132343e-01
2.4230581339e-01   1.9401918093e-01
2.5012212995e-01   1.9362430821e-01
2.5793844651e-01   1.9321670053e-01
2.6575476307e-01   1.9279635388e-01
2.7357107963e-01   1.9236326503e-01
2.8138739619e-01   1.9191743148e-01
2.8920371275e-01   1.9145885152e-01
2.9702002931e-01   1.9098752418e-01
3.0483634587e-01   1.9050344926e-01
3.1265266243e-01   1.9000662731e-01
3.2046897899e-01   1.8949705968e-01
3.2828529555e-01   1.8897474844e-01
3.3610161212e-01   1.8843969645e-01
3.4391792868e-01   1.8789190735e-01
3.5173424524e-01   1.8733138553e-01
3.5955056180e-01   1.8675813616e-01
3.6736687836e-01   1.8617216518e-01
3.7518319492e-01   1.8557347930e-01
3.8299951148e-01   1.8496208602e-01
3.9081582804e-01   1.8433799358e-01
3.9863214460e-01   1.8370121104e-01
4.0644846116e-01   1.8305174821e-01
4.1426477772e-01   1.8238961567e-01
4.2208109428e-01   1.8171482481e-01
4.2989741085e-01   1.8102738778e-01
4.3771372741e-01   1.8032731750e-01
4.4553004397e-01   1.7961462770e-01
4.5334636053e-01   1.7888933286e-01
4.6116267709e-01   1.7815144828e-01
4.6897899365e-01   1.7740099000e-01
4.7679531021e-01   1.7663797488e-01
4.8461162677e-01   1.7586242055e-01
4.9242794333e-01   1.7507434542e-01
5.0024425989e-01   1.7427376870e-01
5.0806057645e-01   1.7346071037e-01
5.1587689301e-01   1.7263519120e-01
5.2369320957e-01   1.7179723277e-01
5.3150952614e-01   1.7094685742e-01
5.3932584270e-01   1.7008408828e-01
5.4714215926e-01   1.6920894928e-01
5.5495847582e-01   1.6832146514e-01
5.6277479238e-01   1.6742166136e-01
5.7059110894e-01   1.6650956423e-01
5.7840742550e-01   1.6558520082e-01
5.8622374206e-01   1.6464859902e-01
5.9404005862e-01   1.6369978747e-01
6.0185637518e-01   1.6273879563e-01
6.0967269174e-01   1.6176565374e-01
6.1748900830e-01   1.6078039282e-01
6.2530532487e-01   1.5978304469e-01
6.3312164143e-01   1.5877364196e-01
6.4093795799e-01   1.5775221802e-01
6.4875427455e-01   1.5671880707e-01
6.5657059111e-01   1.5567344407e-01
6.6438690767e-01   1.5461616479e-01
6.7220322423e-01   1.5354700577e-01
6.8001954079e-01   1.5246600438e-01
6.8783585735e-01   1.5137319872e-01
6.9565217391e-01   1.5026862772e-01
7.0346849047e-01   1.4915233109e-01
7.1128480703e-01   1.4802434931e-01
7.1910112360e-01   1.4688472367e-01
7.2691744016e-01   1.4573349622e-01
7.3473375672e-01   1.4457070983e-01
7.4255007328e-01   1.4339640812e-01
7.5036638984e-01   1.4221063552e-01
7.5818270640e-01   1.4101343724e-01
7.6599902296e-01   1.3980485925e-01
7.7381533952e-01   1.3858494833e-01
7.8163165608e-01   1.3735375205e-01
7.8944797264e-01   1.3611131872e-01
